"Date","Price","Open","High","Low","Vol.","Change %"
"13-07-2020","5,526.00","5,600.00","5,600.00","5,514.00","1.77K","-1.32%"
"10-07-2020","5,600.00","5,630.00","5,638.00","5,590.00","1.68K","-1.16%"
"09-07-2020","5,666.00","5,698.00","5,706.00","5,650.00","0.96K","-0.21%"
"08-07-2020","5,678.00","5,688.00","5,698.00","5,670.00","0.70K","-0.11%"
"07-07-2020","5,684.00","5,572.00","5,690.00","5,546.00","0.96K","1.86%"
"06-07-2020","5,580.00","5,532.00","5,612.00","5,512.00","0.90K","0.04%"
"03-07-2020","5,578.00","5,690.00","5,694.00","5,564.00","1.62K","-1.69%"
"02-07-2020","5,674.00","5,722.00","5,776.00","5,652.00","1.71K","-1.18%"
"01-07-2020","5,742.00","5,744.00","5,758.00","5,724.00","0.23K","-0.17%"
"30-06-2020","5,752.00","5,612.00","5,772.00","5,612.00","1.22K","0.77%"
"29-06-2020","5,708.00","5,822.00","5,868.00","5,684.00","1.49K","-2.13%"
"26-06-2020","5,832.00","5,866.00","5,888.00","5,816.00","0.79K","-0.58%"
"25-06-2020","5,866.00","5,732.00","5,866.00","5,714.00","1.67K","1.98%"
"24-06-2020","5,752.00","5,740.00","5,784.00","5,738.00","1.11K","0.49%"
"23-06-2020","5,724.00","5,704.00","5,736.00","5,624.00","1.20K","0.60%"
"22-06-2020","5,690.00","5,700.00","5,790.00","5,680.00","1.76K","2.56%"
"19-06-2020","5,548.00","5,550.00","5,570.00","5,530.00","0.66K","0.11%"
"18-06-2020","5,542.00","5,562.00","5,562.00","5,502.00","0.12K","0.76%"
"17-06-2020","5,500.00","5,500.00","5,500.00","5,500.00","0.02K","0.59%"
"16-06-2020","5,468.00","5,470.00","5,470.00","5,440.00","0.15K","0.51%"
"15-06-2020","5,440.00","5,476.00","5,476.00","5,326.00","0.61K","0.44%"
"12-06-2020","5,416.00","5,402.00","5,434.00","5,362.00","0.83K","-0.66%"
"11-06-2020","5,452.00","5,458.00","5,478.00","5,420.00","0.54K","0.29%"
"10-06-2020","5,436.00","5,476.00","5,476.00","5,408.00","0.52K","-0.37%"
"09-06-2020","5,456.00","5,562.00","5,680.00","5,404.00","1.60K","-2.22%"
"08-06-2020","5,580.00","5,490.00","5,640.00","5,422.00","1.87K","2.05%"
